생산일자,제품,생산량,출고량,현재고량
2018-01-02,B,0,10000,900
2018-02-13,B,41300,0,42200
2018-02-19,B,0,10000,32200
2018-02-22,B,0,8000,24200
2018-02-26,B,27400,0,51600
2018-02-27,B,0,9000,42600
2018-02-28,B,0,16000,26600
2018-03-05,B,0,8000,18600
2018-03-07,B,13620,0,32220
2018-03-09,B,0,9000,23220
2018-03-12,B,0,6000,17220
2018-03-13,B,0,7000,10220
2018-03-14,B,28000,0,38220
2018-03-15,B,26040,0,64260
2018-03-16,B,0,9000,55260
2018-03-19,B,0,10000,45260
2018-03-20,B,0,11000,34260
2018-03-22,B,0,5000,29260
2018-03-23,B,0,6000,23260
2018-03-26,B,0,14000,9260
2018-03-27,B,13640,8000,14900
2018-03-28,B,12650,0,27550
2018-03-29,B,0,10000,17550
2018-04-02,B,27000,10000,34550
2018-04-03,B,0,8000,26550
2018-04-04,B,0,19000,7550
2018-04-10,B,82850,0,90400
2018-04-11,B,0,16000,74400
2018-04-12,B,0,19000,55400
2018-04-17,B,0,14000,41400
2018-04-18,B,0,4000,37400
2018-04-19,B,82200,4000,115600
2018-04-20,B,0,4000,111600
2018-04-23,B,0,5000,106600
2018-04-24,B,0,9000,97600
2018-04-26,B,0,4000,93600
2018-04-27,B,0,10000,83600
2018-04-30,B,0,7000,76600
2018-05-02,B,0,16000,60600
2018-05-03,B,0,3000,57600
2018-05-04,B,0,6000,51600
2018-05-08,B,0,10000,41600
2018-05-10,B,34300,4000,71900
2018-05-11,B,0,5000,66900
2018-05-14,B,0,7000,59900
2018-05-17,B,0,20000,39900
2018-05-23,B,0,9000,30900
2018-05-24,B,14000,0,44900
2018-05-25,B,42700,21000,66600
2018-05-30,B,0,15000,51600
2018-05-31,B,0,6000,45600
2018-06-04,B,0,11000,34600
2018-06-05,B,28300,18000,44900
2018-06-06,B,54350,0,99250
2018-06-07,B,0,9000,90250
2018-06-08,B,0,4000,86250
2018-06-11,B,0,4000,82250
2018-06-12,B,40650,20000,102900
2018-06-14,B,0,12000,90900
2018-06-15,B,0,17000,73900
2018-06-18,B,0,2000,71900
2018-06-19,B,0,13000,58900
2018-06-21,B,0,20000,38900
2018-06-22,B,0,6000,32900
2018-06-26,B,70000,19000,83900
2018-06-27,B,12130,7000,89030
2018-07-02,B,0,11000,78030
2018-07-03,B,0,14000,64030
2018-07-04,B,0,3000,61030
2018-07-05,B,36570,10000,87600
2018-07-06,B,0,11000,76600
2018-07-09,B,0,8000,68600
2018-07-10,B,0,28000,40600
2018-07-12,B,70300,9000,101900
2018-07-13,B,9700,0,111600
2018-07-16,B,0,1000,110600
2018-07-17,B,0,10000,100600
2018-07-18,B,0,13000,87600
2018-07-19,B,0,20000,67600
2018-07-23,B,84800,0,152400
2018-07-24,B,0,8000,144400
2018-07-25,B,0,6000,138400
2018-07-26,B,0,9000,129400
2018-07-27,B,0,9000,120400
2018-07-30,B,0,11000,109400
2018-07-31,B,0,11000,98400
2018-08-01,B,0,8000,90400
